"MSOA","Communal","Count"
"E02000864",FALSE,8296
"E02000864",TRUE,1
"E02000865",FALSE,6977
"E02000865",TRUE,74
"E02000866",FALSE,9610
"E02000866",TRUE,52
"E02000867",FALSE,9761
"E02000867",TRUE,0
"E02000868",FALSE,6416
"E02000868",TRUE,216
"E02000869",FALSE,5679
"E02000869",TRUE,26
"E02000870",FALSE,6430
"E02000870",TRUE,47
"E02000871",FALSE,8591
"E02000871",TRUE,0
"E02000872",FALSE,7480
"E02000872",TRUE,21
"E02000873",FALSE,7467
"E02000873",TRUE,1246
"E02000874",FALSE,6879
"E02000874",TRUE,250
"E02000875",FALSE,9379
"E02000875",TRUE,61
"E02000876",FALSE,6900
"E02000876",TRUE,137
"E02000877",FALSE,9748
"E02000877",TRUE,55
"E02000878",FALSE,9451
"E02000878",TRUE,835
"E02000879",FALSE,7417
"E02000879",TRUE,217
"E02000880",FALSE,5634
"E02000880",TRUE,142
"E02000881",FALSE,6909
"E02000881",TRUE,0
"E02000882",FALSE,8563
"E02000882",TRUE,41
"E02000883",FALSE,7853
"E02000883",TRUE,97
"E02000884",FALSE,9021
"E02000884",TRUE,65
"E02000885",FALSE,6873
"E02000885",TRUE,22
"E02000886",FALSE,7326
"E02000886",TRUE,0
"E02000887",FALSE,8585
"E02000887",TRUE,75
"E02000888",FALSE,8210
"E02000888",TRUE,5
"E02000889",FALSE,6549
"E02000889",TRUE,67
"E02000890",FALSE,5795
"E02000890",TRUE,0
"E02000891",FALSE,12678
"E02000891",TRUE,0
"E02000893",FALSE,6783
"E02000893",TRUE,0
"E02000894",FALSE,10137
"E02000894",TRUE,0
"E02006853",FALSE,7063
"E02006853",TRUE,1
"E02006854",FALSE,5883
"E02006854",TRUE,0
